,景点,城市,当月销量,优惠价,价格
313,株洲方特欢乐世界,株洲,240,199.00,299.00
314,六本木之丘,东京,83,35.00,35.00
315,新加坡杜莎夫人蜡像馆,新加坡市,18,129.00,148.00
316,郑州方特梦幻王国,郑州,325,199.00,280.00
317,悉尼歌剧院,悉尼,45,102.00,197.00
318,济南方特东方神画,济南,291,180.00,280.00
319,MAX泰拳体育馆,芭堤雅,707,240.00,240.00
320,仙岛湖风景区,黄石,278,75.00,108.00
321,何园,扬州,899,2.50,41.78
322,个园,扬州,616,0.90,42.70
323,绿色星球,迪拜,7,219.00,245.00
324,威勒比开放式动物园,墨尔本,7,99.00,148.00
325,中南百草原,湖州,2619,100.00,180.00
326,绍兴乔波冰雪世界,绍兴,654,228.00,228.00
327,iFly新加坡,新加坡市,1,486.00,486.00
328,宁波野生动物园,宁波,2658,59.00,121.30
329,新银盏温泉度假村,清远,35,153.94,153.94
330,卢村,黄山,19,42.40,42.40
331,天柱山欢乐大世界,漳州,733,90.00,350.00
332,南社明清古村落,东莞,166,12.00,24.00
333,彦根城,滋贺,0,7.00,35.00
334,迪拜滑雪场,迪拜,4,351.00,381.00
335,横店秦王宫,金华,711,90.00,162.00
336,横店明清宫苑,金华,815,90.00,165.00
337,横店清明上河图,金华,753,90.00,175.00
338,横店广州街·香港街,金华,433,90.00,165.00
339,龙虎山,南宁,49,53.80,53.80
340,武汉木兰草原,武汉,20064,20.00,40.00
341,罗马城市一卡通,罗马,4,235.00,245.00
342,墨尔本动物园,墨尔本,38,98.00,148.00
343,龙山温泉,云浮,48,60.00,94.70
344,观澜湖火山岩温泉,海口,61,84.00,138.00
345,沈阳乐高探索中心,沈阳,17,138.00,138.00
346,温莎城堡,伦敦,22,132.00,246.00
347,翡翠谷,黄山,139,44.00,55.00
348,螺髻山,凉山,61,90.00,218.60
349,半岭温泉,三亚,15,32.00,89.00
350,广州融创乐园,广州,414,59.00,208.00
351,开封大宋东京梦华,开封,584,249.00,249.00
352,木坑竹海,黄山,142,31.90,31.90
353,澜沧江·湄公河之夜歌舞篝火晚会,西双版纳,421,188.60,188.60
354,明月千古情,宜春,176,140.00,140.00
355,大连老虎滩海洋公园,大连,492,179.00,179.00
356,伦敦眼,伦敦,469,115.00,120.00
357,斯坦福桥球场(切尔西主场),伦敦,4,199.00,268.00
358,南屏,黄山,102,22.00,36.00
359,梵高博物馆,阿姆斯特丹,929,20.00,229.00
360,关林,洛阳,66,38.99,38.99
